Start Time,Url,Status Code,File Size,Operation,Time Delay,End Time,Elapsed Time
"20/09/2023, 10:27:57.943504",https://www.studiesinaustralia.com/courses-in-australia/english-in-paradise,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:59.998885",2.0553805828094482
"20/09/2023, 10:27:59.132875",https://www.studiesinaustralia.com/courses-in-australia/everest-institute,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:01.117431",1.9845552444458008
"20/09/2023, 10:27:59.134865",https://www.studiesinaustralia.com/courses-in-australia/everthought-education-perth,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:01.376513",2.241647243499756
"20/09/2023, 10:27:59.358205",https://www.studiesinaustralia.com/courses-in-australia/excelsia-college,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:01.421444",2.063239097595215
"20/09/2023, 10:27:59.499261",https://www.studiesinaustralia.com/courses-in-australia/federation-tafe,200,61 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:01.783872",2.2846107482910156
"20/09/2023, 10:28:00.008299",https://www.studiesinaustralia.com/courses-in-australia/flight-academy-australia,404,43 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:02.087873",2.079573631286621
"20/09/2023, 10:28:00.011455",https://www.studiesinaustralia.com/courses-in-australia/flight-training-adelaide-pty-ltd,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:02.867420",2.8559648990631104
"20/09/2023, 10:28:01.126641",https://www.studiesinaustralia.com/courses-in-australia/flinders-university,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:04.496082",3.369441270828247
"20/09/2023, 10:28:01.430212",https://www.studiesinaustralia.com/courses-in-australia/gotafe,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:04.654857",3.2246453762054443
"20/09/2023, 10:28:01.387560",https://www.studiesinaustralia.com/courses-in-australia/fox-education-and-consultancy,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:04.660277",3.2727174758911133
"20/09/2023, 10:28:01.800544",https://www.studiesinaustralia.com/courses-in-australia/global-business-college-of-australia,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:28:04.698883",2.898339033126831
