Start Time,Url,Status Code,File Size,Operation,Time Delay,End Time,Elapsed Time
"19/09/2023, 13:55:24.787510",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=13,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:25.476352",0.6888413429260254
"19/09/2023, 13:55:25.535012",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=14,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:26.642175",1.107163667678833
"19/09/2023, 13:55:26.696599",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=15,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:27.700327",1.0037281513214111
"19/09/2023, 13:55:27.760110",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=16,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:29.070175",1.3100650310516357
"19/09/2023, 13:55:29.129183",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=17,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:30.170025",1.0408411026000977
"19/09/2023, 13:55:30.231045",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=18,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:30.982570",0.7515246868133545
"19/09/2023, 13:55:31.088249",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=19,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:31.756142",0.6678929328918457
"19/09/2023, 13:55:31.811209",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=20,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:32.643207",0.8319985866546631
"19/09/2023, 13:55:32.697911",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=21,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:33.640398",0.9414613246917725
"19/09/2023, 13:55:33.710419",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=22,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:34.911945",1.2015266418457031
"19/09/2023, 13:55:34.973945",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=23,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:35.715407",0.7414624691009521
"19/09/2023, 13:55:35.770307",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=24,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:37.215536",1.4452292919158936
"19/09/2023, 13:55:37.275342",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=25,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:38.083279",0.8079361915588379
"19/09/2023, 13:55:38.140884",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=26,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:39.065864",0.9249804019927979
"19/09/2023, 13:55:39.126093",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=27,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:39.838686",0.712592601776123
"19/09/2023, 13:55:39.915633",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=28,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:41.179998",1.264364242553711
"19/09/2023, 13:55:41.246923",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=29,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:41.952369",0.7054464817047119
"19/09/2023, 13:55:41.998932",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=30,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:43.103539",1.1046063899993896
"19/09/2023, 13:55:43.165708",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=31,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:44.073720",0.9080119132995605
"19/09/2023, 13:55:44.135960",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=32,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:44.776616",0.6406557559967041
"19/09/2023, 13:55:44.823453",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=33,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:46.267370",1.4439170360565186
"19/09/2023, 13:55:46.392072",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=34,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:47.082458",0.6903853416442871
