College name,College url,Undergraduate rating url,Postgraduate rating url,Undergraduate Graduate salary in dollar,Undergraduate Staff qualification in percentage,Undergraduate Student Teacher ratio,Undergraduate Full time employment in percentage,Postgraduate Graduate salary in dollar,Postgraduate Staff qualification in percentage,Postgraduate Student Teacher ratio,Postgraduate Full time employment in percentage
"University of Adelaide, The",https://www.studiesinaustralia.com/courses-in-australia/university-of-adelaide-the/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-adelaide-the/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-adelaide-the/ratings-rankings/postgraduate,"48,700",79.0,22:1,65.9,"62,300",79.0,22:1,78.8
University of Canberra,https://www.studiesinaustralia.com/courses-in-australia/university-of-canberra/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-canberra/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-canberra/ratings-rankings/postgraduate,"55,300",79.0,23:1,73.5,"69,600",79.0,23:1,87.5
University of Divinity,https://www.studiesinaustralia.com/courses-in-australia/university-of-divinity/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-divinity/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-divinity/ratings-rankings/postgraduate,,,,,,,,
"University of Melbourne, The",https://www.studiesinaustralia.com/courses-in-australia/university-of-melbourne-the/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-melbourne-the/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-melbourne-the/ratings-rankings/postgraduate,"29,300",80.0,19:1,58.1,"67,700",80.0,19:1,85.1
University of Newcastle,https://www.studiesinaustralia.com/courses-in-australia/university-of-newcastle/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-newcastle/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-newcastle/ratings-rankings/postgraduate,"55,800",82.0,25:1,75.9,"77,700",82.0,25:1,88.6
University of New England (UNE),https://www.studiesinaustralia.com/courses-in-australia/university-of-new-england-une/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-new-england-une/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-new-england-une/ratings-rankings/postgraduate,"58,100",76.0,26:1,79.8,"65,600",76.0,26:1,84.9
"University of Queensland, The (UQ)",https://www.studiesinaustralia.com/courses-in-australia/university-of-queensland-the-uq/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-queensland-the-uq/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-queensland-the-uq/ratings-rankings/postgraduate,"54,200",87.0,23:1,71.7,"65,500",87.0,23:1,82.6
University of South Australia (UniSA),https://www.studiesinaustralia.com/courses-in-australia/university-of-south-australia-unisa/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-south-australia-unisa/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-south-australia-unisa/ratings-rankings/postgraduate,"51,300",77.0,24:1,72.1,"67,000",77.0,24:1,82.3
University of Southern Queensland (UniSQ),https://www.studiesinaustralia.com/courses-in-australia/university-of-southern-queensland-usq/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-southern-queensland-usq/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-southern-queensland-usq/ratings-rankings/postgraduate,"62,300",74.0,21:1,77.9,"71,600",74.0,21:1,87.4
University of Sydney,https://www.studiesinaustralia.com/courses-in-australia/university-of-sydney/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-sydney/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-sydney/ratings-rankings/postgraduate,"51,300",76.0,18:1,75.5,"67,100",76.0,18:1,86.9
University of Tasmania,https://www.studiesinaustralia.com/courses-in-australia/university-of-tasmania/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-tasmania/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-tasmania/ratings-rankings/postgraduate,"54,000",77.0,21:1,74.5,"69,700",77.0,21:1,93.8
University of Technology Sydney (UTS),https://www.studiesinaustralia.com/courses-in-australia/university-of-technology-sydney/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-technology-sydney/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-technology-sydney/ratings-rankings/postgraduate,"53,400",84.0,23:1,72.9,"68,700",84.0,23:1,83.3
University of the Sunshine Coast (UniSC),https://www.studiesinaustralia.com/courses-in-australia/university-of-the-sunshine-coast-unisc/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-the-sunshine-coast-unisc/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-the-sunshine-coast-unisc/ratings-rankings/postgraduate,"52,300",78.0,23:1,60.1,"61,500",78.0,23:1,83.4
"University of Western Australia, The (UWA)",https://www.studiesinaustralia.com/courses-in-australia/university-of-western-australia-the-uwa/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-western-australia-the-uwa/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-western-australia-the-uwa/ratings-rankings/postgraduate,"35,500",68.0,20:1,56.6,"65,600",68.0,20:1,81.9
University of Wollongong,https://www.studiesinaustralia.com/courses-in-australia/university-of-wollongong/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/university-of-wollongong/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/university-of-wollongong/ratings-rankings/postgraduate,"52,200",88.0,22:1,69.2,"66,800",88.0,22:1,85.5
UNSW Sydney,https://www.studiesinaustralia.com/courses-in-australia/unsw-sydney/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/unsw-sydney/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/unsw-sydney/ratings-rankings/postgraduate,"54,800",83.0,23:1,77.0,"80,600",83.0,23:1,90.7
Victoria University (VU),https://www.studiesinaustralia.com/courses-in-australia/victoria-university-vu/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/victoria-university-vu/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/victoria-university-vu/ratings-rankings/postgraduate,"48,000",55.0,34:1,60.9,"55,700",55.0,34:1,81.8
Western Sydney University,https://www.studiesinaustralia.com/courses-in-australia/western-sydney-university/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/western-sydney-university/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/western-sydney-university/ratings-rankings/postgraduate,"47,600",80.0,27:1,63.2,"65,000",80.0,27:1,78.8
